cell,row,col,mean,median,std,min,max,int_den,area_px
1,1,1,74.18,73.0,15.33,46,245,5111361.0,68906
2,1,2,73.82,74.0,14.78,37,217,5086606.0,68906
3,1,3,70.44,70.0,14.11,31,211,4853988.0,68906
4,1,4,74.74,69.0,23.17,21,231,5150293.0,68906
5,1,5,92.13,81.0,34.22,19,217,6348544.0,68906
6,1,6,89.04,78.0,31.62,28,196,6135239.0,68906
7,2,1,79.01,79.0,15.46,41,210,5444466.0,68906
8,2,2,73.81,73.0,13.58,40,204,5086164.0,68906
9,2,3,70.17,69.0,13.72,37,208,4835228.0,68906
10,2,4,73.87,66.0,22.08,26,219,5090054.0,68906
11,2,5,84.81,75.0,27.5,24,190,5844154.0,68906
12,2,6,97.29,88.0,34.72,22,195,6703607.0,68906
13,3,1,82.9,83.0,12.66,56,230,5712572.0,68906
14,3,2,78.88,80.0,12.15,46,198,5435052.0,68906
15,3,3,77.48,76.0,16.61,22,194,5339133.0,68906
16,3,4,75.41,70.0,20.59,28,206,5196444.0,68906
17,3,5,80.4,75.0,22.52,45,182,5540297.0,68906
18,3,6,89.38,82.0,25.07,59,184,6158913.0,68906
