file,mean,median,std,min,max
截屏2026-06-04 16.38.23.png,77.61,76.0,10.1,56,199
截屏2026-06-04 16.38.33.png,84.6,82.0,11.06,48,182
截屏2026-06-04 16.38.40.png,88.06,87.0,9.23,61,187
截屏2026-06-04 16.38.47.png,79.99,77.0,11.24,52,164
截屏2026-06-04 16.38.57.png,78.89,77.0,10.06,53,164
截屏2026-06-04 16.39.06.png,83.18,83.0,9.46,59,177
截屏2026-06-04 16.39.15.png,76.05,73.0,12.09,40,180
截屏2026-06-04 16.39.26.png,73.86,71.0,12.23,46,175
截屏2026-06-04 16.39.35.png,83.71,79.0,15.03,52,180
截屏2026-06-04 16.40.39.png,82.56,76.0,18.41,47,178
截屏2026-06-04 16.40.46.png,81.65,71.0,21.01,42,169
截屏2026-06-04 16.40.51.png,81.96,74.0,20.41,50,165
截屏2026-06-04 16.40.56.png,106.39,105.0,25.14,47,184
截屏2026-06-04 16.41.02.png,93.84,91.0,22.03,45,165
截屏2026-06-04 16.41.08.png,87.6,79.0,21.97,60,167
截屏2026-06-04 16.41.14.png,100.86,99.0,27.21,49,179
截屏2026-06-04 16.41.22.png,114.76,116.0,26.48,53,177
截屏2026-06-04 16.41.34.png,95.93,89.0,23.63,62,169
